DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,12/1/2014,AA,5,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1305,1553,168,1,11,1740,2033,173,1,11,3784,168,0,5,0,0
1,12/8/2014,AA,5,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1305,2112,487,1,12,1740,107,447,1,12,3784,216,0,0,0,231
1,12/15/2014,AA,5,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1305,1305,0,0,0,1740,1725,-15,0,-1,3784,,,,,
1,12/22/2014,AA,5,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1305,1340,35,1,2,1740,1808,28,1,1,3784,28,0,0,0,0
1,12/29/2014,AA,5,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1305,1728,263,1,12,1740,2200,260,1,12,3784,47,0,0,0,213
1,12/1/2014,AA,6,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1805,1915,70,1,4,510,541,31,1,2,3711,1,0,0,0,30
1,12/8/2014,AA,6,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1805,1836,31,1,2,510,550,40,1,2,3711,0,0,9,0,31
1,12/15/2014,AA,6,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1805,2111,186,1,12,510,835,205,1,12,3711,0,0,19,0,186
1,12/22/2014,AA,6,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1805,1758,-7,0,-1,510,447,-23,0,-2,3711,,,,,
1,12/29/2014,AA,6,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1805,1845,40,1,2,510,541,31,1,2,3711,0,0,0,0,31
