DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1/5/2015,AA,5,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1305,1434,89,1,5,1740,1859,79,1,5,3784,79,0,0,0,0
1,1/12/2015,AA,5,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1315,1328,13,0,0,1758,1758,0,0,0,3784,,,,,
1,1/19/2015,AA,5,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1315,1310,-5,0,-1,1758,1744,-14,0,-1,3784,,,,,
1,1/26/2015,AA,5,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1315,1323,8,0,0,1758,1739,-19,0,-2,3784,,,,,
1,1/5/2015,AA,6,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1805,1809,4,0,0,510,513,3,0,0,3711,,,,,
1,1/12/2015,AA,6,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1815,1812,-3,0,-1,519,510,-9,0,-1,3711,,,,,
1,1/19/2015,AA,6,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1815,1757,-18,0,-2,519,446,-33,0,-2,3711,,,,,
1,1/26/2015,AA,6,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1815,1756,-19,0,-2,519,503,-16,0,-2,3711,,,,,
1,1/5/2015,AA,7,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,13830,1383002,33830,"Kahului, HI",Hawaii,1215,1735,320,1,12,1635,2136,301,1,12,3711,254,0,0,0,47
1,1/12/2015,AA,7,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,13830,1383002,33830,"Kahului, HI",Hawaii,1215,1213,-2,0,-1,1643,1654,11,0,0,3711,,,,,
