GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US15,15,Hawaii,449771,1783,312058,2363,231608,2296,137713,1989,5.8,0.2,3.3,0.2,1.4,0.2,12.5,0.5,3.5,0.2,2.2,0.2,1.3,0.2,6.9,0.5,7.5,0.3,5.3,0.3,3.9,0.3,13.1,0.7,7.9,0.3,6.6,0.3,5.1,0.3,11.7,0.6,11.8,0.3,10.8,0.4,9.6,0.4,15.1,0.6,18.3,0.4,18.4,0.4,18.0,0.4,18.7,0.8,14.4,0.4,16.4,0.5,17.3,0.5,9.7,0.6,17.8,0.4,21.3,0.5,24.6,0.6,8.3,0.6,7.0,0.3,8.6,0.3,10.3,0.4,2.2,0.2,5.9,0.2,7.1,0.3,8.6,0.3,1.9,0.2,67402,734,79963,769,89614,872,40598,794,84933,634,95757,829,106278,990,53800,864,31.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X)
0500000US15001,15001,"Hawaii County, Hawaii",64909,874,43012,1134,30383,855,21897,957,9.5,0.8,5.3,0.8,2.3,0.7,19.7,2.0,5.4,0.6,3.9,0.7,2.4,0.6,9.0,1.4,11.6,1.1,9.7,1.2,6.5,1.1,17.4,1.9,9.9,0.8,9.0,1.0,6.9,0.9,12.7,1.7,12.3,0.9,12.6,1.2,12.5,1.1,11.6,1.3,18.8,1.1,20.4,1.4,21.0,1.6,15.1,1.8,13.4,0.9,15.8,1.2,18.5,1.5,6.9,1.1,12.0,0.9,14.6,1.1,18.3,1.3,5.5,1.2,4.1,0.5,5.4,0.7,6.9,0.9,1.0,0.5,2.8,0.4,3.5,0.5,4.7,0.7,1.2,0.5,51250,1238,59862,2063,73013,2539,27098,1526,65809,2149,74919,2503,87172,3192,42329,3279,34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X)
0500000US15003,15003,"Honolulu County, Hawaii",309803,1352,217400,1960,162374,1926,92403,1844,5.1,0.2,3.1,0.2,1.2,0.2,11.0,0.6,3.1,0.2,1.9,0.2,1.0,0.2,6.2,0.5,6.5,0.3,4.4,0.3,3.3,0.3,11.6,0.8,7.3,0.3,5.9,0.3,4.7,0.4,11.5,0.7,11.4,0.4,10.0,0.4,8.8,0.5,15.7,0.9,18.0,0.4,17.8,0.5,17.1,0.5,19.6,1.0,14.6,0.5,16.2,0.5,16.8,0.6,10.5,0.7,19.4,0.5,23.0,0.6,26.1,0.7,9.3,0.6,8.0,0.3,9.9,0.4,11.6,0.5,2.6,0.3,6.6,0.2,7.9,0.3,9.5,0.4,2.0,0.3,72764,848,85440,921,95459,1008,43859,994,89741,701,100862,914,110948,1063,56826,1097,30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.4,(X)
0500000US15005,15005,"Kalawao County, Hawaii",46,13,12,6,12,6,34,14,15.2,12.5,0.0,82.3,0.0,82.3,20.6,15.8,8.7,13.1,0.0,82.3,0.0,82.3,11.8,16.7,0.0,42.0,0.0,82.3,0.0,82.3,0.0,48.9,0.0,42.0,0.0,82.3,0.0,82.3,0.0,48.9,15.2,12.9,0.0,82.3,0.0,82.3,20.6,16.5,26.1,15.4,33.3,28.9,33.3,28.9,23.5,18.7,8.7,8.7,33.3,26.0,33.3,26.0,0.0,48.9,17.4,13.3,16.7,17.0,16.7,17.0,17.6,16.2,8.7,7.7,16.7,19.1,16.7,19.1,5.9,7.3,0.0,42.0,0.0,82.3,0.0,82.3,0.0,48.9,59375,12267,88750,24555,88750,24555,44375,19784,66591,16287,101667,21343,N,N,54212,15549,28.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.5,(X)
0500000US15007,15007,"Kauai County, Hawaii",22390,416,15609,503,11980,546,6781,453,6.3,1.2,3.4,0.9,2.0,0.8,15.2,3.3,3.3,0.8,2.2,0.7,1.2,0.5,6.1,1.9,8.8,1.3,5.1,1.0,4.0,1.0,17.0,3.3,8.4,1.0,7.2,1.3,5.7,1.3,11.4,2.2,12.7,1.2,12.4,1.4,11.0,1.7,14.6,2.4,20.1,1.8,20.9,1.9,20.7,2.2,19.7,3.5,15.0,1.5,18.0,1.9,20.6,2.2,7.3,1.8,16.8,1.6,20.3,1.9,22.8,2.4,5.5,2.0,4.4,0.8,5.7,1.0,6.1,1.3,1.0,0.9,4.2,0.8,4.8,1.0,5.9,1.3,2.1,1.4,62052,2213,73205,3732,82368,2638,35294,3972,76516,3560,85704,4184,N,N,49462,6205,37.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.1,(X)
0500000US15009,15009,"Maui County, Hawaii",52623,792,36025,903,26859,897,16598,808,4.5,0.7,2.6,0.6,0.7,0.3,10.1,2.0,4.2,0.7,2.6,0.6,1.4,0.5,8.2,1.4,8.2,0.8,5.7,0.8,4.3,0.8,14.1,2.1,8.9,0.9,8.0,0.8,5.6,1.0,12.2,1.9,12.9,1.1,12.4,1.4,10.8,1.5,15.9,2.1,18.7,1.2,18.2,1.4,19.0,1.7,18.1,2.4,14.8,1.4,17.0,1.7,18.0,2.0,9.6,2.0,16.1,1.2,19.7,1.4,23.9,1.9,7.6,1.6,5.6,0.7,6.4,0.9,7.7,1.1,1.6,0.6,6.1,0.7,7.3,0.8,8.7,1.0,2.4,0.8,63512,2165,75407,2045,84467,2284,40164,2618,83816,2344,94180,2808,105316,3552,53860,2882,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.3,(X)
8600000US96701,96701,ZCTA5 96701,13305,284,9423,301,7084,295,3882,297,4.4,1.2,2.0,1.2,0.3,0.3,11.4,3.3,1.6,0.6,1.3,0.6,0.6,0.6,3.2,1.7,4.9,1.3,2.4,1.0,1.0,0.7,10.4,4.0,5.8,1.2,4.6,1.1,2.7,0.9,10.0,3.1,11.4,1.5,9.2,1.8,7.5,1.9,16.8,3.8,17.0,2.1,15.9,2.3,14.1,2.3,20.7,5.2,15.2,1.9,16.2,2.3,16.9,2.4,13.3,3.4,22.0,2.0,26.8,2.6,30.6,3.0,9.4,2.6,9.5,1.6,11.4,1.8,13.6,2.3,2.8,2.3,8.2,1.5,10.4,2.0,12.6,2.4,1.9,1.3,83255,3196,96520,4968,112000,4127,47162,5701,99645,4098,113712,5051,N,N,59347,5643,26.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.0,(X)
8600000US96703,96703,ZCTA5 96703,742,95,538,85,340,76,204,62,10.5,3.8,4.6,2.9,2.9,2.8,26.0,11.7,6.2,3.7,3.0,2.8,3.2,3.9,15.7,11.1,6.7,5.0,1.5,1.4,1.5,1.8,20.6,15.1,5.7,4.1,11.9,6.7,8.5,8.4,2.9,3.5,17.8,5.8,20.3,8.0,8.8,5.2,14.2,11.3,17.1,5.4,15.1,6.5,13.8,8.4,6.9,7.2,14.6,6.6,15.2,8.6,20.9,12.9,11.8,11.9,15.2,6.7,19.9,8.9,30.3,13.2,2.0,2.8,3.9,2.5,5.4,3.3,6.2,3.8,0.0,13.6,2.3,2.0,3.2,2.8,3.8,3.9,0.0,13.6,56912,12160,62885,13898,84643,17997,20000,9067,68063,8598,80133,10811,N,N,29883,8834,25.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.6,(X)
8600000US96704,96704,ZCTA5 96704,2404,202,1616,223,1037,192,788,178,6.2,2.9,1.5,2.5,0.0,2.8,18.8,8.3,5.4,3.7,3.4,4.2,4.1,6.4,9.6,7.0,12.1,5.4,11.6,7.2,2.5,2.8,13.2,7.0,13.7,4.8,9.0,3.6,8.1,4.6,23.4,10.9,12.7,4.1,13.2,5.1,16.9,7.4,13.6,8.3,19.5,6.2,22.5,8.1,23.3,11.6,13.7,8.8,7.9,2.9,11.1,4.3,13.3,5.9,3.7,3.6,16.1,4.1,18.4,6.1,18.0,7.0,3.4,3.4,2.7,1.5,4.0,2.2,5.6,3.6,0.0,3.7,3.7,2.4,5.2,3.5,8.1,5.5,0.6,1.0,49847,11429,62621,6381,66806,10876,27946,6349,65608,7330,78213,10055,N,N,34044,6253,45.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),52.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.8,(X)
