Account N,Zip Code
422276,96950
649127,96706
76108,96706
160132,96950
818435,96738
704201,95112
873857,96806
932851,96932
966838,96712
1188405,98223
1199689,92704
1519436,96750
87,96740
345,85614
414,96701
387,96813
949,96932
528,96816
809,96734
650,77467
1174,96745
307,89117
2132,96706
2158,96932
2199,96707
2615,96814
1895,96826
1256,96793
2008,96701
1336,96821
1343,95973
3170,96701
2819,95125
2821,96931
3526,96931
3876,91765
2863,77459
2875,90066
3301,96789
2979,96932
3384,96931
3409,96815
2731,96795
2755,96768
3151,96913
4146,96815
4172,96815
4239,96931
283276,96813
4732,96817
4799,96795
4755,96932
4420,96929
3127,7079
4134,96813
343145,92110
344936,96921
344952,96929
339905,96950
343462,96813
343390,96931
343465,96929
342064,96819
343676,96931
343744,96921
346925,96931
322202,96942
342522,96915
324117,96734
342418,96921
347739,96921
1190,96740
3488,96704
344551,96931
344555,96929
343689,96931
344900,96790
342913,96931
425010,96911
344894,96915
427927,96822
344641,98118
327114,96950
6621,94526
343191,96932
4426,96950
444899,96712
446168,60467
446392,96950
345646,96921
449326,96950
4517,2467
487934,96929
470312,96950
471126,96915
483552,96950
471721,96825
342472,96745
4748,96913
480068,96950
472507,96725
72968,96826
493850,96921
347556,96929
342476,96753
69036,98409
342666,96915
462167,96950
473611,77040
463101,96950
464105,96950
409666,96815
465075,96815
624510,96932
627739,96929
4507,96931
474020,11363
344908,96921
549135,96950
550107,96932
609427,1770
4376,96929
610756,96929
312751,96931
636792,95036
588632,96931
615373,96950
525963,96950
217,96793
2457,98424
1373,96766
621233,96950
562984,96950
582675,96932
621460,96789
622560,96929
1108,970
663869,96921
664493,96931
710368,96913
651525,96931
520768,96931
70667,96929
708809,96910
695898,96817
714579,96816
654587,96778
652523,96763
655390,96952
71674,NA
714436,96921
655982,96932
674475,96950
656803,96929
558630,96931
702165,96819
592925,96950
642991,96913
660053,96825
681166,31410
414168,96910
664006,96931
702552,96931
4153,53187
662699,96817
663277,96931
772020,96816
719417,96931
342645,96929
595650,96932
247926,96799
772762,96825
763231,96744
726634,96929
772783,96921
775526,96819
788214,96950
285945,96913
